<kalimat id=1>
Kera	NN
untuk	SC
amankan	VB
pesta olahraga	NN
</kalimat>
<kalimat id=2>
Pemerintah	NNP
kota	NNP
Delhi	NNP
mengerahkan	VB
monyet	NN
untuk	SC
mengusir	VB
monyet-monyet	NN
lain	JJ
yang	SC
berbadan	VB
lebih	RB
kecil	JJ
dari	IN
arena	NN
Pesta Olahraga	NNP
Persemakmuran	NNP
.	Z
</kalimat>
<kalimat id=3>
Beberapa	CD
laporan	NN
menyebutkan	VB
setidaknya	RB
10	CD
monyet	NN
ditempatkan	VB
di	IN
luar	NN
arena	NN
lomba	NN
dan	CC
pertandingan	NN
di	IN
ibukota	NNP
India	NNP
.	Z
</kalimat>
<kalimat id=4>
Pemkot	NNP
Delhi	NNP
memiliki	VB
28	CD
monyet	NN
dan	CC
berencana	VB
mendatangkan	VB
10	CD
monyet	NN
sejenis	NN
dari	IN
negara bagian	NNP
Rajasthan	NNP
.	Z
</kalimat>
<kalimat id=5>
Jumlah	NN
monyet	NN
di	IN
ibukota	NNP
India	NNP
mencapai	VB
ribuan	CD
,	Z
sebagian besar	NN
berada	VB
di	IN
kantor-kantor	NN
pemerintah	NN
dan	CC
hewan	NN
ini	PR
dianggap	VB
mengganggu	VB
ketertiban	NN
umum	JJ
.	Z
</kalimat>
<kalimat id=6>
Jenis	NN
monyet	NN
yang	SC
dikerahkan	VB
pemkot	NN
berbadan	VB
besar	JJ
,	Z
berekor	VB
panjang	JJ
,	Z
dan	CC
memiliki	VB
wajah	NN
berwarna	VB
hitam	JJ
.	Z
</kalimat>
<kalimat id=7>
Monyet	NN
ini	PR
diikat	VB
dengan	IN
tali	NN
panjang	JJ
dan	CC
pelatih	NN
yang	SC
mengawasi	VB
mereka	PRP
akan	MD
melepas	VB
tali	NN
begitu	SC
monyet-monyet	NN
kecil	JJ
lain	JJ
mendekat	VB
.	Z
</kalimat>
<kalimat id=8>
Kantor	NNP
berita	NNP
AFP	NNP
melaporkan	VB
stadion	NN
tinju	NN
dan	CC
hockey	FW
mendapatkan	VB
perhatian	NN
khusus	JJ
karena	SC
sering	RB
diserbu	VB
monyet	NN
.	Z
</kalimat>
<kalimat id=9>
Monyet	NN
besar	JJ
akan	MD
dikerahkan	VB
di	IN
dua	CD
stadion	NN
untuk	SC
mengusir	VB
serbuan	NN
monyet	NN
kecil	JJ
</kalimat>
<kalimat id=10>
"	Z
Monyet	NN
besar	JJ
akan	MD
dikerahkan	VB
di	IN
dua	CD
stadion	NN
tersebut	PR
untuk	SC
mengusir	VB
serbuan	NN
monyet	NN
kecil	JJ
,	Z
"	Z
kata	VB
Devender	NNP
Prasad	NNP
,	Z
pejabat	NN
pemerintah	NNP
kota	NNP
Delhi	NNP
kepada	IN
kantor berita	NNP
AFP	NNP
.	Z
</kalimat>
<kalimat id=11>
Selama	IN
bertahun-tahun	CD
monyet	NN
mengganggu	VB
warga	NN
Delhi	NNP
.	Z
</kalimat>
<kalimat id=12>
Binatang	NN
ini	PR
menaiki	VB
kereta	NN
metro	NN
dan	CC
bahkan	RB
berkeliaran	VB
di	IN
kompleks	NN
gedung	NN
parlemen	NN
.	Z
</kalimat>
<kalimat id=13>
Belum	NEG
lama	JJ
ini	PR
kawanan	NN
monyet	NN
menyerbu	VB
kantor	NN
perdana menteri	NN
dan	CC
departemen	NN
pertahanan	NN
.	Z
</kalimat>
<kalimat id=14>
Binatang	NN
ini	PR
tidak	NEG
bisa	MD
dibunuh	VB
karena	SC
masyarakat	NN
India	NNP
menganggap	VB
mereka	PRP
suci	JJ
.	Z
</kalimat>
<kalimat id=15a>
Selain	CC
harus	MD
mengusir	VB
kawanan	NN
monyet	NN
,	Z
pemkot	NNP
Delhi	NNP
juga	RB
kesulitan	VB
mengatasi	VB
wabah	NN
demam berdarah	NN
.	Z
</kalimat>
<kalimat id=15b>
Curah	NN
hujan	NN
yang	SC
tinggi	JJ
menyebabkan	VB
banyak	CD
genangan	NN
,	Z
tempat	NN
ideal	JJ
bagi	IN
nyamuk	NN
aedes	NNP
berkembang biak	VB
.	Z
</kalimat>
<kalimat id=16>
Pemkot	NN
telah	MD
menempatkan	VB
ikan	NN
di	IN
berbagai	CD
genangan	NN
air	NN
untuk	SC
memangsa	VB
telur	NN
nyamuk	NN
.	Z
</kalimat>
<kalimat id=17>
Miliarder	NN
AS	NNP
jamu	VB
orang kaya	NN
Cina	NNP
</kalimat>
<kalimat id=18>
Dua	CD
miliarder	NN
Amerika	NNP
Bill	NNP
Gates	NNP
dan	CC
Warren	NNP
Buffett	NNP
akan	MD
mengadakan	VB
jamuan	NN
makan malam	NN
di	IN
Beijing	NNP
bagi	IN
sejumlah	CD
orang	NN
terkaya	JJ
di	IN
Cina	NNP
.	Z
</kalimat>
<kalimat id=19>
Gates	NNP
dan	CC
Buffett	NNP
mengatakan	VB
mereka	PRP
berada	VB
di	IN
Cina	NNP
untuk	SC
mempelajari	VB
kegiatan	NN
amal	NN
di	IN
negara	NN
itu	PR
.	Z
</kalimat>
<kalimat id=20>
Banyak	CD
orang	NN
menduga	VB
mereka	PRP
ingin	RB
membujuk	VB
para	DT
tamu	NN
agar	SC
lebih	RB
banyak	CD
menyumbang	VB
untuk	IN
amal	NN
.	Z
</kalimat>
<kalimat id=21>
Kedua	CD
orang	NN
terkaya	JJ
dunia	NN
itu	PR
sudah	MD
berhasil	VB
membujuk	VB
banyak	CD
orang	NN
yang	SC
sangat	RB
kaya	JJ
di	IN
Amerika	NNP
agar	SC
menyumbangkan	VB
separuh	CD
kekayaan	NN
mereka	PRP
.	Z
</kalimat>
<kalimat id=22>
Ada	VB
kerahasiaan	NN
mengenai	IN
acara	NN
itu	PR
,	Z
pihak	NN
penyelenggara	NN
tidak	NEG
membeberkan	VB
nama-nama	NN
tamu	NN
.	Z
</kalimat>
<kalimat id=23>
Salah satu	CD
orang	NN
yang	SC
akan	MD
menghadiri	VB
jamuan	NN
makan malam	NN
itu	PR
adalah	VB
Chen	NNP
Guangbiao	NNP
,	Z
seorang	NND
miliarder	NN
yang	SC
meraup	VB
kekayaan	NN
dari	IN
bisnis	NN
mendaur ulang	VB
sampah	NN
dari	IN
industri	NN
bangunan	NN
.	Z
</kalimat>
<kalimat id=24>
Dia	PRP
mengatakan	VB
kepada	IN
BBC	NNP
bahwa	SC
dia	PRP
sudah	MD
berencana	VB
menyumbangkan	VB
seluruh	CD
harta	NN
-nya	PRP
untuk	IN
amal	NN
bila	SC
dia	PRP
meninggal	VB
.	Z
</kalimat>
<kalimat id=25>
"	Z
Beramal	VB
dan	CC
membantu	VB
sudah	MD
menjadi	VB
bagian	NN
dari	IN
budaya	NN
Cina	NNP
selama	IN
5.000	CD
tahun	NN
.	Z
</kalimat>
<kalimat id=26>
Tetapi	CC
kegiatan	NN
amal	NN
resmi	JJ
baru	MD
dikembangkan	VB
di	IN
Cina	NNP
dalam	IN
30	CD
tahun	NN
terakhir	JJ
,	Z
sejak	SC
kami	PRP
menerapkan	VB
reformasi ekonomi	NN
.	Z
"	Z
</kalimat>
<kalimat id=27>
"	Z
Banyak	CD
orang	NN
baru	MD
mulai	MD
menjadi	VB
kaya	JJ
dan	CC
kami	PRP
baru-baru ini	RB
saja	RB
bisa	MD
memberi	VB
makan	NN
diri	NN
sendiri	NN
,	Z
"	Z
kata	VB
-nya	PRP
.	Z
</kalimat>
<kalimat id=28>
Menyumbangkan	VB
uang	NN
untuk	IN
amal	NN
belum	NEG
begitu	RB
berkembang	VB
di	IN
Cina	NNP
sebaik	JJ
di	IN
banyak	CD
negara	NN
lain	JJ
.	Z
</kalimat>
<kalimat id=29>
Kalau	SC
jamuan	NN
makan malam	NN
ini	PR
bisa	MD
dikatakan	VB
berhasil	VB
,	Z
keberhasilan	NN
itu	PR
adalah	VB
mendorong	VB
perdebatan	NN
mengenai	IN
apa	SC
arti	NN
beramal	VB
bagi	IN
yang	SC
membutuhkan	VB
.	Z
</kalimat>
<kalimat id=30>
Kisah	NN
pendiri	NN
Facebook	NNP
